product_name_langs,product_name_texts,additives_n,complete,completeness,created_t,ingredients_from_palm_oil_n,ingredients_n,ingredients_percent_analysis,ingredients_with_specified_percent_n,ingredients_with_unspecified_percent_n,ingredients_without_ciqual_codes_n,known_ingredients_n,last_modified_t,last_updated_t,nova_group,popularity_key,rev,unknown_ingredients_n,schema_version,prediction
main | en,Savory Snacks Hot 'N Spicy Pub Mix | Savory Snacks Hot 'N Spicy Pub Mix,0.0,0.0,0.4000000059604645,1.489072063E9,0.0,16.0,1.0,0.0,15.0,9.0,26.0,1.489072063E9,1.707495734E9,4.0,0.0,1.0,6.0,999.0,1
main | en,Beef Jerky | Beef Jerky,0.0,0.0,0.5,1.489093106E9,0.0,6.0,1.0,0.0,6.0,2.0,12.0,1.587592785E9,1.734798428E9,4.0,0.0,3.0,0.0,999.0,1
main | en,French Onion Dip | French Onion Dip,4.0,0.0,0.6000000238418579,1.489078009E9,0.0,17.0,1.0,0.0,16.0,9.0,32.0,1.740186379E9,1.740186379E9,4.0,0.0,3.0,3.0,999.0,1
main | en,Harvest Cheddar | Harvest Cheddar,3.0,0.0,0.7875000238418579,1.516233698E9,0.0,39.0,1.0,0.0,35.0,14.0,37.0,1.776792028E9,1.776792028E9,4.0,2.495000002E10,81.0,2.0,1003.0,0
main | en,Hot sauce | Hot sauce,1.0,0.0,0.5,1.489142657E9,0.0,4.0,1.0,0.0,4.0,2.0,4.0,1.587634936E9,1.73479238E9,4.0,0.0,3.0,1.0,999.0,1
main | en,"Weis quality, roasted / no salt 320 cashews | Weis quality, roasted / no salt 320 cashews",0.0,0.0,0.5,1.489073337E9,0.0,2.0,1.0,0.0,1.0,0.0,7.0,1.587586208E9,1.734803026E9,3.0,1.0,2.0,0.0,999.0,1
main | en,Soft & Chewy Candy Bites | Soft & Chewy Candy Bites,6.0,0.0,0.6625000238418579,1.489068896E9,0.0,19.0,1.0,0.0,17.0,9.0,32.0,1.682765703E9,1.734694079E9,4.0,0.0,7.0,1.0,999.0,1
main | en,Chicken Santa Fe | Chicken Santa Fe,3.0,0.0,0.6000000238418579,1.489070982E9,0.0,21.0,1.0,0.0,19.0,9.0,27.0,1.740276078E9,1.740276078E9,4.0,0.0,3.0,3.0,999.0,1
main | en | fr,Juice drink | Juice drink | Snapple Apple,1.0,0.0,0.7875000238418579,1.520518359E9,0.0,9.0,1.0,0.0,8.0,6.0,9.0,1.773727309E9,1.773727309E9,4.0,1.0,19.0,0.0,1003.0,1
main | en,Asparagus spears | Asparagus spears,0.0,0.0,0.5,1.489062426E9,0.0,3.0,1.0,0.0,3.0,1.0,5.0,1.587578032E9,1.734807656E9,3.0,0.0,3.0,0.0,999.0,1
main | en,Hamburger Rolls | Hamburger Rolls,0.0,0.0,0.6000000238418579,1.489093947E9,0.0,17.0,1.0,0.0,15.0,9.0,31.0,1.740270069E9,1.740270069E9,4.0,0.0,3.0,4.0,999.0,1
main | en,"Candy cane, birthday cake | Candy cane, birthday cake",6.0,0.0,0.5,1.489074229E9,0.0,10.0,1.0,0.0,9.0,8.0,13.0,1.587586787E9,1.73480257E9,4.0,0.0,3.0,0.0,999.0,1
main | en,Soup Mix | Soup Mix,0.0,0.0,0.6625000238418579,1.489143173E9,0.0,18.0,1.0,0.0,16.0,6.0,38.0,1.740275611E9,1.740275611E9,4.0,1.0,10.0,1.0,999.0,1
main | en,Mayonnaise | Mayonnaise,0.0,0.0,0.6000000238418579,1.489066739E9,0.0,9.0,1.0,0.0,9.0,3.0,22.0,1.740270448E9,1.740270448E9,3.0,0.0,4.0,0.0,999.0,1
main | en,"Sargento, tastings, smoky chipotle cheddar jack cheese | Sargento, tastings, smoky chipotle cheddar jack cheese",1.0,0.0,0.5,1.489058813E9,0.0,13.0,1.0,0.0,10.0,4.0,18.0,1.587575895E9,1.73480876E9,4.0,0.0,2.0,0.0,999.0,1
main | en,"Sparking Water, Lemon Lime | Sparking Water, Lemon Lime",5.0,0.0,0.4000000059604645,1.489071843E9,0.0,8.0,1.0,0.0,7.0,7.0,10.0,1.550522035E9,1.707490481E9,4.0,0.0,2.0,0.0,999.0,1
main | en,Thin Crust Margherita Pizza | Thin Crust Margherita Pizza,1.0,0.0,0.6000000238418579,1.48909306E9,0.0,20.0,1.0,0.0,18.0,7.0,29.0,1.740370929E9,1.740370929E9,3.0,0.0,4.0,2.0,999.0,1
main | en,Ice Cream Sandwiches | Ice Cream Sandwiches,6.0,0.0,0.6000000238418579,1.489092967E9,0.0,17.0,1.0,0.0,15.0,8.0,28.0,1.740358158E9,1.740358158E9,4.0,0.0,4.0,1.0,999.0,1
main | en,Diced peaches & pears in juice | Diced peaches & pears in juice,1.0,0.0,0.5,1.489067239E9,0.0,8.0,1.0,0.0,7.0,7.0,13.0,1.587581116E9,1.734806145E9,1.0,0.0,2.0,0.0,999.0,1
main | en,Summer sausage | Summer sausage,6.0,0.0,0.5,1.489091182E9,0.0,23.0,1.0,0.0,22.0,15.0,28.0,1.587591777E9,1.734799072E9,4.0,0.0,2.0,2.0,999.0,0
main | en,Borracho Beans | Borracho Beans,0.0,0.0,0.6000000238418579,1.489094752E9,0.0,20.0,1.0,0.0,15.0,7.0,31.0,1.740371301E9,1.740371301E9,4.0,0.0,2.0,4.0,999.0,1
main | en,"Frankford, disney frozen lollipop rings, blue raspberry artificially flavored | Frankford, disney frozen lollipop rings, blue raspberry artificially flavored",3.0,0.0,0.5,1.489072214E9,0.0,7.0,1.0,0.0,6.0,5.0,10.0,1.587585404E9,1.734803621E9,4.0,0.0,3.0,0.0,999.0,1
main | en,Creamy Caesar Dressing | Creamy Caesar Dressing,5.0,0.0,0.574999988079071,1.457899204E9,0.0,34.0,1.0,0.0,31.0,12.0,33.0,1.773404842E9,1.773404842E9,4.0,1.0,21.0,1.0,1003.0,0
main | en,Unsalted Sweet Cream Butter | Unsalted Sweet Cream Butter,0.0,0.0,0.6000000238418579,1.489078544E9,0.0,2.0,1.0,0.0,2.0,1.0,4.0,1.740367296E9,1.740367296E9,4.0,0.0,5.0,0.0,999.0,1
main | en,Winter Edition Nut Crescent Cookie Chocolate Bar | Winter Edition Nut Crescent Cookie Chocolate Bar,1.0,0.0,0.6000000238418579,1.4890734E9,0.0,18.0,1.0,0.0,18.0,2.0,38.0,1.740373268E9,1.740373268E9,4.0,0.0,3.0,1.0,999.0,1
main | en,Masoor dal | Masoor dal,0.0,0.0,0.5,1.489078249E9,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.587589703E9,1.748356618E9,1.0,0.0,2.0,0.0,1001.0,1
main | en,Pumpkin Chiffon Pie | Pumpkin Chiffon Pie,12.0,0.0,0.6000000238418579,1.489057219E9,0.0,48.0,1.0,0.0,39.0,26.0,68.0,1.740357099E9,1.740357099E9,4.0,1.0,3.0,2.0,999.0,0
main | en,8 Grain Hot Cereal | 8 Grain Hot Cereal,0.0,0.0,0.6000000238418579,1.489056285E9,0.0,9.0,1.0,0.0,9.0,2.0,18.0,1.740353669E9,1.740353669E9,1.0,0.0,3.0,2.0,999.0,1
main | en,Cheese Crackers | Cheese Crackers,1.0,0.0,0.6000000238418579,1.489061655E9,0.0,33.0,1.0,0.0,27.0,21.0,53.0,1.740349562E9,1.740349562E9,4.0,0.0,3.0,5.0,999.0,0
main | en,"Simple truth organic, frosted flakes cereal, sweetened organic flakes of corn | Simple truth organic, frosted flakes cereal, sweetened organic flakes of corn",0.0,0.0,0.5,1.489066793E9,0.0,3.0,1.0,0.0,3.0,1.0,2.0,1.772639028E9,1.772639028E9,3.0,0.0,4.0,1.0,1003.0,1
main | fr | en,Sourdough Bread | SanLuis Sourdough | Sourdough Bread,0.0,0.0,0.675000011920929,1.489133505E9,0.0,15.0,1.0,0.0,12.0,7.0,15.0,1.776624894E9,1.776624894E9,3.0,2.4900000017E10,58.0,0.0,1003.0,1
main | en,Fudge Bars | Fudge Bars,1.0,0.0,0.6000000238418579,1.489140846E9,0.0,7.0,1.0,0.0,7.0,2.0,12.0,1.740363128E9,1.740363128E9,4.0,0.0,3.0,0.0,999.0,1
main | en,"Market basket, cheese crackers, natural cheese flavor | Market basket, cheese crackers, natural cheese flavor",3.0,0.0,0.5,1.489078698E9,0.0,31.0,1.0,0.0,26.0,19.0,53.0,1.742437299E9,1.742437299E9,4.0,0.0,3.0,3.0,999.0,0
main | en,Herb & Garlic Marinade With Lemon Juice | Herb & Garlic Marinade With Lemon Juice,5.0,0.0,0.6625000238418579,1.489144246E9,0.0,21.0,1.0,0.0,20.0,7.0,21.0,1.762555643E9,1.771279489E9,4.0,0.0,11.0,0.0,1002.0,1
main | en,"Tai pei, pepper beef | Tai pei, pepper beef",4.0,0.0,0.5,1.489068901E9,0.0,62.0,1.0,0.0,54.0,18.0,59.0,1.587582311E9,1.748426775E9,4.0,0.0,2.0,3.0,1001.0,0
main | en,"Spartan, pizza bites, sausage & pepperoni pizza wrapped in a crispy browned crust | Spartan, pizza bites, sausage & pepperoni pizza wrapped in a crispy browned crust",0.0,0.0,0.5,1.489065781E9,0.0,19.0,1.0,0.0,17.0,11.0,37.0,1.587580207E9,1.734806621E9,4.0,0.0,2.0,2.0,999.0,1
main | en,"Vita Classic, Wild Sockeye Salmon, Hot Smoked | Vita Classic, Wild Sockeye Salmon, Hot Smoked",1.0,0.0,0.5,1.489090425E9,0.0,6.0,1.0,0.0,5.0,3.0,10.0,1.587591383E9,1.734799327E9,3.0,0.0,2.0,1.0,999.0,1
main | en,Soup | Soup,1.0,0.0,0.6000000238418579,1.489051702E9,0.0,19.0,1.0,0.0,16.0,5.0,31.0,1.740351285E9,1.740351285E9,3.0,1.0,3.0,1.0,999.0,1
main | en,Good Morning! Breakfast Bites | Good Morning! Breakfast Bites,5.0,0.0,0.5,1.489095205E9,0.0,33.0,1.0,0.0,28.0,17.0,38.0,1.587594219E9,1.734797417E9,4.0,0.0,2.0,6.0,999.0,0
main | en,Tableside caesar dressing | Tableside caesar dressing,4.0,0.0,0.5,1.489052941E9,0.0,31.0,1.0,0.0,27.0,12.0,56.0,1.587572372E9,1.73481065E9,4.0,0.0,2.0,2.0,999.0,0
main | en,"Sara lee, restaurant style white hamburger buns | Sara lee, restaurant style white hamburger buns",12.0,0.0,0.5,1.489138045E9,0.0,47.0,1.0,0.0,39.0,31.0,41.0,1.772128916E9,1.772128916E9,4.0,0.0,4.0,6.0,1003.0,0
main | en,Cottage Cheese | Cottage Cheese,3.0,0.0,0.6625000238418579,1.489057064E9,0.0,10.0,1.0,0.0,9.0,6.0,9.0,1.670745769E9,1.734718326E9,4.0,1.0,9.0,2.0,999.0,1
